metrics_key,episode,total_reward,average_rolling_reward,loss,duration,epsilon,steps
20240519170619,1,25.0,25.0,,0.5041437149047852,1.0,25
20240519170619,2,14.0,19.5,,0.301375150680542,0.99,14
20240519170619,3,15.0,18.0,,0.3215627670288086,0.9801,15
20240519170619,4,23.0,19.25,,0.4832632541656494,0.9702989999999999,23
20240519170619,5,23.0,20.0,,0.48358678817749023,0.96059601,23
20240519170619,6,25.0,20.833333333333332,,0.523047685623169,0.9509900498999999,25
20240519170619,7,20.0,20.714285714285715,,0.5563435554504395,0.9414801494009999,20
20240519170619,8,48.0,24.125,,1.0315899848937988,0.9320653479069899,48
20240519170619,9,35.0,25.333333333333332,,0.776667594909668,0.92274469442792,35
20240519170619,10,19.0,24.7,,0.4599459171295166,0.9135172474836407,19
20240519170619,11,32.0,25.363636363636363,,0.7871208190917969,0.9043820750088043,32
20240519170619,12,15.0,24.5,,0.31995463371276855,0.8953382542587163,15
20240519170619,13,10.0,23.384615384615383,,0.24068331718444824,0.8863848717161291,10
20240519170619,14,13.0,22.642857142857142,,0.3436424732208252,0.8775210229989678,13
20240519170619,15,18.0,22.333333333333332,,0.4767732620239258,0.8687458127689781,18
20240519170619,16,15.0,21.875,,0.42516589164733887,0.8600583546412883,15
20240519170619,17,14.0,21.41176470588235,,0.34981322288513184,0.8514577710948754,14
20240519170619,18,15.0,21.055555555555557,,0.34482645988464355,0.8429431933839266,15
20240519170619,19,18.0,20.894736842105264,,0.45958638191223145,0.8345137614500874,18
20240519170619,20,15.0,20.6,,0.412306547164917,0.8261686238355865,15
20240519170619,21,52.0,22.095238095238095,,1.3512458801269531,0.8179069375972307,52
20240519170619,22,20.0,22.0,,0.6002593040466309,0.8097278682212583,20
20240519170619,23,20.0,21.91304347826087,,0.5500526428222656,0.8016305895390458,20
20240519170619,24,19.0,21.791666666666668,0.5368250012397766,0.518477201461792,0.7936142836436553,19
20240519170619,25,35.0,22.32,0.5189258456230164,0.8706779479980469,0.7856781408072188,35
20240519170619,26,17.0,22.115384615384617,0.5173053741455078,0.3858683109283447,0.7778213593991465,17
20240519170619,27,20.0,22.037037037037038,0.5087817907333374,0.6582643985748291,0.7700431458051551,20
20240519170619,28,18.0,21.892857142857142,0.4980851709842682,0.5268731117248535,0.7623427143471035,18
20240519170619,29,20.0,21.82758620689655,0.5026987791061401,0.4709656238555908,0.7547192872036325,20
20240519170619,30,10.0,21.433333333333334,0.5277287364006042,0.24288153648376465,0.7471720943315961,10
20240519170619,31,21.0,21.419354838709676,0.5492925643920898,0.5403926372528076,0.7397003733882802,21
20240519170619,32,11.0,21.09375,0.5745328068733215,0.3525376319885254,0.7323033696543974,11
20240519170619,33,21.0,21.09090909090909,0.6251938939094543,0.6486606597900391,0.7249803359578534,21
20240519170619,34,14.0,20.88235294117647,0.7018077969551086,0.4343562126159668,0.7177305325982748,14
20240519170619,35,20.0,20.857142857142858,0.7869668006896973,0.5025215148925781,0.7105532272722921,20
20240519170619,36,11.0,20.583333333333332,0.9013382196426392,0.24800825119018555,0.7034476949995692,11
20240519170619,37,9.0,20.27027027027027,0.9676395654678345,0.3640005588531494,0.6964132180495735,9
20240519170619,38,15.0,20.13157894736842,1.0448307991027832,0.45732808113098145,0.6894490858690777,15
20240519170619,39,14.0,19.974358974358974,1.1053507328033447,0.3318362236022949,0.682554595010387,14
20240519170619,40,16.0,19.875,1.0968366861343384,0.4658639430999756,0.6757290490602831,16
20240519170619,41,25.0,20.0,1.4633190631866455,0.7197606563568115,0.6689717585696803,25
20240519170619,42,13.0,19.833333333333332,1.5636287927627563,0.4053788185119629,0.6622820409839835,13
20240519170619,43,20.0,19.837209302325583,1.5396006107330322,0.4927361011505127,0.6556592205741436,20
20240519170619,44,13.0,19.681818181818183,1.540268063545227,0.37025904655456543,0.6491026283684022,13
20240519170619,45,16.0,19.6,1.8645761013031006,0.5114953517913818,0.6426116020847181,16
20240519170619,46,12.0,19.434782608695652,1.8261878490447998,0.30106592178344727,0.6361854860638709,12
20240519170619,47,10.0,19.23404255319149,1.8469096422195435,0.28551554679870605,0.6298236312032323,10
20240519170619,48,16.0,19.166666666666668,1.8929301500320435,0.4307229518890381,0.6235253948912,16
20240519170619,49,15.0,19.081632653061224,1.4177310466766357,0.43436598777770996,0.617290140942288,15
20240519170619,50,11.0,18.92,1.6203606128692627,0.40628981590270996,0.6111172395328651,11
20240519170619,51,14.0,18.823529411764707,1.6402873992919922,0.38677239418029785,0.6050060671375365,14
20240519170619,52,23.0,18.903846153846153,1.7898064851760864,0.693117618560791,0.5989560064661611,23
20240519170619,53,15.0,18.830188679245282,1.5090763568878174,0.4668257236480713,0.5929664464014994,15
20240519170619,54,10.0,18.666666666666668,1.7590370178222656,0.35947132110595703,0.5870367819374844,10
20240519170619,55,12.0,18.545454545454547,1.6689393520355225,0.3734440803527832,0.5811664141181095,12
20240519170619,56,12.0,18.428571428571427,2.087620735168457,0.3702707290649414,0.5753547499769285,12
20240519170619,57,39.0,18.789473684210527,2.448085069656372,1.1224756240844727,0.5696012024771592,39
20240519170619,58,19.0,18.79310344827586,2.159832715988159,0.501075029373169,0.5639051904523876,19
20240519170619,59,23.0,18.864406779661017,2.075714588165283,0.6258320808410645,0.5582661385478638,23
20240519170619,60,84.0,19.95,1.7830733060836792,2.5804829597473145,0.5526834771623851,84
20240519170619,61,36.0,20.21311475409836,2.160280704498291,1.1508862972259521,0.5471566423907612,36
20240519170619,62,105.0,21.580645161290324,2.075066566467285,3.205850601196289,0.5416850759668536,105
